extracurricularactivities,skills,location,yearofstudy,subjects,gpa,languages,clubmemberships,interestarea,gender
Music Club,"Problem Solving, Public Speaking, Programming, Artistic",Andaman & Nicobar Islands,Graduate,History,4.12,"Spanish, English, Japanese, German, French",Coding Club,History,Male
Debate Club,"Data Analysis, Public Speaking",Chandigarh,Senior,Physics,7.94,"English, Chinese","Sports Team, Debate Club, Volunteer Group, Coding Club",Computer science,Female
Coding Club,"Public Speaking, Programming, Problem Solving, Leadership, Data Analysis, Artistic",Dadra & Nagar Haveli and Daman & Diu,Junior,History,6.44,"Spanish, Chinese, English, French","Sports Team, Debate Club, Music Club, Art Club, Volunteer Group",Biology,Female
Sports Team,Programming,Delhi,Sophomore,Physics,7.32,"English, Spanish, Chinese, German, Japanese","Music Club, Volunteer Group, Coding Club, Art Club",Mathematics,Male
Debate Club,"Leadership, Public Speaking, Data Analysis, Problem Solving, Programming",Jammu & Kashmir,Freshman,Physics,5.6,"German, Japanese, Chinese, Spanish, English, French",Volunteer Group,Biology,Female
Sports Team,"Data Analysis, Artistic, Problem Solving",Ladakh,Junior,Biology,5.1,"German, English","Debate Club, Art Club, Music Club, Sports Team, Volunteer Group, Coding Club",Biology,Male
Coding Club,"Data Analysis, Artistic, Public Speaking, Problem Solving",Lakshadweep,Sophomore,Computer Science,5.42,"Japanese, German, Spanish, English",Coding Club,Computer science,Female
Art Club,"Data Analysis, Public Speaking",Puducherry,Freshman,Biology,7.24,"Japanese, Spanish, Chinese, English, French","Coding Club, Sports Team, Art Club, Debate Club, Music Club, Volunteer Group",Computer science,Female
Art Club,Problem Solving,Bihar,Sophomore,Mathematics,5.46,"French, Spanish","Coding Club, Art Club, Sports Team, Debate Club, Music Club",History,Male
Music Club,"Problem Solving, Artistic",Chhattisgarh,Sophomore,Biology,5.74,German,"Music Club, Volunteer Group, Art Club, Sports Team, Coding Club",Biology,Female
Volunteer Group,"Programming, Artistic, Problem Solving",Goa,Freshman,Psychology,5.54,"Japanese, Chinese, French, English","Music Club, Art Club, Sports Team, Coding Club, Volunteer Group, Debate Club",Mathematics,Female
Art Club,"Data Analysis, Artistic, Leadership",Gujarat,Graduate,Physics,6.14,"Chinese, Japanese, French, German","Debate Club, Music Club, Volunteer Group, Sports Team, Art Club",Biology,Female
Art Club,"Artistic, Programming, Problem Solving",Haryana,Sophomore,Psychology,7.26,"Japanese, English, Chinese, French, German, Spanish","Music Club, Art Club, Sports Team, Debate Club",Mathematics,Female
Art Club,"Artistic, Leadership, Data Analysis",Himachal Pradesh,Sophomore,History,6.86,"German, Japanese, Chinese, Spanish, English, French","Coding Club, Art Club, Sports Team",Mathematics,Female
Music Club,Artistic,Jharkhand,Sophomore,History,7.14,"English, French, Chinese","Music Club, Art Club, Coding Club, Sports Team, Debate Club",Computer science,Male
Debate Club,"Data Analysis, Artistic, Programming, Problem Solving, Leadership",Karnataka,Freshman,Psychology,6.7,"English, Chinese, German, Spanish, Japanese, French","Debate Club, Art Club",Mathematics,Female
Coding Club,Data Analysis,Kerala,Graduate,Physics,5.1,Chinese,Art Club,Mathematics,Male
Music Club,"Programming, Problem Solving, Public Speaking",Madhya Pradesh,Freshman,Computer Science,7.78,"Japanese, Spanish, Chinese, German, English, French","Art Club, Volunteer Group, Coding Club",Mathematics,Female
Volunteer Group,"Public Speaking, Problem Solving",Maharashtra,Junior,Physics,7.44,"Spanish, German","Art Club, Debate Club, Music Club, Sports Team, Coding Club, Volunteer Group",Computer science,Male
Volunteer Group,Programming,Manipur,Junior,Physics,7.24,"Chinese, Spanish, English, Japanese, German","Debate Club, Coding Club, Art Club, Volunteer Group, Music Club",Computer science,Male
Sports Team,"Public Speaking, Leadership, Programming, Artistic",Meghalaya,Freshman,Physics,7.16,"French, English, Chinese, Spanish, German, Japanese","Volunteer Group, Coding Club, Sports Team",Computer science,Female
Volunteer Group,"Problem Solving, Leadership, Data Analysis, Artistic",Mizoram,Sophomore,Mathematics,7.22,"German, Japanese","Art Club, Sports Team",Computer science,Female
Music Club,Problem Solving,Nagaland,Freshman,Physics,7.2,"German, Chinese, English, Spanish","Volunteer Group, Sports Team, Music Club, Art Club, Coding Club",Mathematics,Female
Debate Club,"Public Speaking, Programming, Problem Solving",Odisha,Freshman,Psychology,6.26,"Chinese, German, English, Japanese","Coding Club, Art Club, Music Club, Volunteer Group",History,Male
Coding Club,"Programming, Problem Solving, Data Analysis, Leadership, Public Speaking",Punjab,Freshman,History,7.7,"German, Japanese, Spanish, French","Art Club, Sports Team, Debate Club, Coding Club, Music Club, Volunteer Group",Computer science,Female
Debate Club,"Leadership, Artistic, Programming, Public Speaking, Problem Solving, Data Analysis",Rajasthan,Junior,Computer Science,6.8,"Japanese, German, Chinese","Debate Club, Volunteer Group, Music Club, Art Club",Computer science,Male
Debate Club,"Programming, Artistic, Problem Solving",Sikkim,Senior,Computer Science,8.0,"Chinese, French, Spanish, Japanese, German","Volunteer Group, Art Club, Music Club, Sports Team, Coding Club, Debate Club",Computer science,Male
Volunteer Group,Programming,Tamil Nadu,Graduate,History,6.74,"Japanese, Spanish, French, English, Chinese","Volunteer Group, Coding Club",Computer science,Male
Sports Team,"Artistic, Programming, Public Speaking, Data Analysis, Problem Solving, Leadership",Telangana,Sophomore,Biology,7.62,"German, English",Sports Team,Mathematics,Female
Debate Club,"Programming, Artistic, Data Analysis, Problem Solving, Public Speaking",Tripura,Senior,Psychology,5.18,"Japanese, Chinese, German, French","Volunteer Group, Debate Club",Mathematics,Female
Volunteer Group,"Public Speaking, Leadership, Problem Solving",Uttar Pradesh,Sophomore,Physics,5.88,"German, Spanish, Chinese, French, Japanese, English","Art Club, Music Club, Sports Team",History,Male
Art Club,"Public Speaking, Leadership, Problem Solving",Uttarakhand,Senior,Psychology,7.16,"German, Japanese, Spanish, English","Debate Club, Music Club, Sports Team, Volunteer Group, Coding Club",Computer science,Male
Sports Team,Problem Solving,West Bengal,Graduate,History,7.56,"Chinese, Spanish, Japanese, English",Art Club,Mathematics,Female
Music Club,Problem Solving,Andhra Pradesh,Sophomore,History,5.1,"Chinese, Japanese, French","Sports Team, Coding Club, Music Club, Debate Club, Volunteer Group, Art Club",Mathematics,Male
Sports Team,"Programming, Data Analysis, Leadership, Artistic, Public Speaking",Arunachal Pradesh,Senior,Mathematics,4.48,English,Art Club,History,Female
Debate Club,"Data Analysis, Leadership, Public Speaking, Artistic",Assam,Sophomore,Biology,6.78,German,Debate Club,Biology,Male
Sports Team,"Leadership, Public Speaking, Data Analysis, Artistic",Andaman & Nicobar Islands,Senior,Physics,7.68,"English, German, Chinese","Art Club, Coding Club, Sports Team, Music Club, Volunteer Group",Mathematics,Female
Coding Club,"Problem Solving, Programming, Data Analysis, Leadership, Public Speaking, Artistic",Chandigarh,Sophomore,Biology,4.72,"Japanese, French, English","Volunteer Group, Music Club, Coding Club, Debate Club, Sports Team",History,Male
Sports Team,"Artistic, Public Speaking, Problem Solving, Data Analysis, Leadership, Programming",Dadra & Nagar Haveli and Daman & Diu,Junior,Physics,4.74,"French, German","Volunteer Group, Debate Club, Music Club, Sports Team",Biology,Female
Sports Team,"Leadership, Data Analysis, Problem Solving, Public Speaking, Artistic, Programming",Delhi,Sophomore,Physics,6.62,"German, Spanish","Coding Club, Sports Team",Biology,Male
Volunteer Group,"Data Analysis, Artistic, Problem Solving",Jammu & Kashmir,Junior,Psychology,6.46,"German, English, Spanish, Japanese","Art Club, Sports Team",Mathematics,Female
Art Club,"Problem Solving, Public Speaking, Artistic",Ladakh,Senior,Psychology,7.12,"French, English, German, Chinese, Japanese","Debate Club, Sports Team, Volunteer Group, Art Club, Coding Club, Music Club",Mathematics,Female
Music Club,Public Speaking,Lakshadweep,Graduate,Computer Science,7.56,French,"Music Club, Art Club, Sports Team, Coding Club",Computer science,Male
Debate Club,Public Speaking,Puducherry,Senior,History,6.14,"French, English, Chinese","Debate Club, Music Club, Coding Club, Volunteer Group",History,Male
Debate Club,"Problem Solving, Leadership, Data Analysis, Artistic",Bihar,Graduate,Mathematics,5.82,"Chinese, French, Japanese, Spanish","Sports Team, Debate Club",Mathematics,Female
Sports Team,"Data Analysis, Public Speaking, Programming, Problem Solving",Chhattisgarh,Graduate,Mathematics,7.44,German,"Music Club, Coding Club",Mathematics,Male
Debate Club,"Problem Solving, Artistic, Programming",Goa,Senior,Physics,6.32,"German, French","Volunteer Group, Coding Club, Music Club, Debate Club",History,Female
Music Club,"Problem Solving, Artistic, Programming",Gujarat,Sophomore,Computer Science,4.24,"German, Spanish",Debate Club,History,Male
Debate Club,"Leadership, Programming, Problem Solving",Haryana,Freshman,Mathematics,5.08,English,"Music Club, Coding Club, Sports Team, Debate Club",History,Female
Art Club,"Problem Solving, Artistic, Programming, Public Speaking, Leadership",Himachal Pradesh,Senior,Biology,7.0,"German, Japanese","Volunteer Group, Art Club",Mathematics,Female
Sports Team,"Artistic, Leadership, Problem Solving, Programming, Data Analysis, Public Speaking",Jharkhand,Senior,Psychology,7.06,"Chinese, Japanese, Spanish, French, German, English","Music Club, Coding Club, Volunteer Group, Sports Team",Mathematics,Female
Sports Team,"Public Speaking, Data Analysis, Programming, Leadership",Karnataka,Junior,Psychology,7.8,"Japanese, English, French, German, Spanish","Coding Club, Art Club, Volunteer Group, Debate Club, Sports Team",Computer science,Female
Coding Club,"Public Speaking, Artistic",Kerala,Sophomore,History,5.24,"Japanese, German","Music Club, Volunteer Group, Debate Club, Art Club, Sports Team",Computer science,Female
Music Club,"Artistic, Leadership, Public Speaking, Programming, Data Analysis",Madhya Pradesh,Freshman,Biology,5.96,"Spanish, Chinese",Sports Team,History,Female
Volunteer Group,"Artistic, Programming, Problem Solving, Leadership, Public Speaking, Data Analysis",Maharashtra,Senior,Biology,6.32,"Japanese, French, German, English, Chinese, Spanish",Art Club,Mathematics,Male
Volunteer Group,Data Analysis,Manipur,Junior,Computer Science,6.04,"Japanese, Spanish, German","Volunteer Group, Debate Club, Coding Club, Art Club, Sports Team",Mathematics,Male
Music Club,"Data Analysis, Public Speaking",Meghalaya,Sophomore,History,5.26,"German, Chinese, Japanese, Spanish","Coding Club, Sports Team, Debate Club, Music Club",Computer science,Male
Volunteer Group,"Data Analysis, Leadership, Public Speaking, Artistic",Mizoram,Freshman,Physics,5.6,"Japanese, German","Debate Club, Coding Club, Music Club, Sports Team, Art Club, Volunteer Group",History,Female
Music Club,"Public Speaking, Problem Solving, Programming, Artistic, Data Analysis",Nagaland,Freshman,Mathematics,7.6,"German, English, French, Chinese, Spanish","Sports Team, Art Club, Music Club",Computer science,Female
Music Club,"Public Speaking, Programming",Odisha,Junior,Psychology,5.12,"French, Chinese, English","Debate Club, Music Club, Sports Team, Coding Club",Computer science,Female
Sports Team,"Programming, Problem Solving, Data Analysis, Leadership, Artistic, Public Speaking",Punjab,Graduate,Biology,7.1,"English, Japanese, German, Spanish","Sports Team, Debate Club",Computer science,Female
Art Club,Data Analysis,Rajasthan,Senior,Biology,5.9,French,"Volunteer Group, Art Club, Music Club",Mathematics,Male
Coding Club,"Leadership, Data Analysis, Artistic",Sikkim,Freshman,Mathematics,4.48,"Chinese, Japanese, French, German, English","Volunteer Group, Art Club, Debate Club, Sports Team, Coding Club, Music Club",Biology,Male
Music Club,"Public Speaking, Programming, Artistic",Tamil Nadu,Senior,History,7.92,"German, Spanish, Chinese, English, French, Japanese","Coding Club, Sports Team",Mathematics,Female
Debate Club,"Artistic, Data Analysis",Telangana,Senior,Mathematics,5.64,"German, Chinese, Japanese, French",Debate Club,Mathematics,Male
Debate Club,"Programming, Artistic, Leadership, Public Speaking, Problem Solving, Data Analysis",Tripura,Junior,Mathematics,7.0,"Chinese, Spanish, Japanese","Sports Team, Art Club",Mathematics,Male
Debate Club,Leadership,Uttar Pradesh,Graduate,Mathematics,7.94,"Spanish, Chinese, French","Music Club, Volunteer Group, Debate Club, Coding Club, Art Club, Sports Team",Mathematics,Female
Coding Club,"Problem Solving, Artistic, Programming, Public Speaking, Data Analysis",Uttarakhand,Graduate,Psychology,5.78,"Spanish, Japanese","Art Club, Debate Club, Music Club, Sports Team, Coding Club, Volunteer Group",Biology,Male
Volunteer Group,"Artistic, Problem Solving, Leadership, Public Speaking",West Bengal,Graduate,Physics,5.8,"French, Spanish, German, English, Chinese","Music Club, Volunteer Group",Computer science,Female
Art Club,Public Speaking,Andhra Pradesh,Graduate,Physics,6.12,"German, Chinese, Japanese, French, Spanish","Volunteer Group, Debate Club, Music Club, Art Club, Coding Club",Biology,Male
Volunteer Group,"Programming, Public Speaking, Artistic, Problem Solving",Arunachal Pradesh,Graduate,Biology,6.82,"Spanish, English, Japanese",Volunteer Group,Mathematics,Female
Coding Club,"Public Speaking, Programming, Leadership",Assam,Senior,History,6.7,"English, Spanish","Volunteer Group, Art Club, Debate Club, Coding Club, Sports Team",Computer science,Female
Volunteer Group,"Leadership, Problem Solving",Andaman & Nicobar Islands,Freshman,History,4.92,"Chinese, English, German","Debate Club, Music Club, Art Club, Coding Club, Volunteer Group",Biology,Female
Art Club,"Programming, Data Analysis, Artistic, Public Speaking, Problem Solving, Leadership",Chandigarh,Graduate,Biology,4.86,"French, English","Art Club, Coding Club, Sports Team, Volunteer Group",History,Female
Coding Club,Artistic,Dadra & Nagar Haveli and Daman & Diu,Sophomore,History,7.78,"Spanish, French","Coding Club, Art Club, Debate Club, Sports Team, Volunteer Group, Music Club",Computer science,Male
Sports Team,Artistic,Delhi,Junior,Biology,5.58,"English, Spanish, Japanese","Coding Club, Music Club, Sports Team, Art Club, Volunteer Group, Debate Club",History,Female
Volunteer Group,"Programming, Public Speaking, Data Analysis",Jammu & Kashmir,Graduate,Physics,4.18,"French, English","Volunteer Group, Coding Club, Debate Club, Sports Team, Art Club",Biology,Female
Coding Club,"Public Speaking, Artistic, Problem Solving, Programming",Ladakh,Junior,Biology,5.58,"Japanese, Chinese",Coding Club,Biology,Female
Volunteer Group,"Programming, Artistic, Leadership, Public Speaking, Data Analysis",Lakshadweep,Freshman,History,7.3,"German, Japanese, Spanish","Coding Club, Art Club, Sports Team, Music Club, Debate Club, Volunteer Group",Mathematics,Male
Art Club,"Programming, Problem Solving",Puducherry,Sophomore,Psychology,5.0,"Japanese, English","Volunteer Group, Sports Team, Art Club, Debate Club, Coding Club",Mathematics,Female
Music Club,"Leadership, Artistic, Data Analysis",Bihar,Graduate,History,5.34,English,"Volunteer Group, Music Club, Debate Club, Sports Team, Coding Club",Biology,Male
Volunteer Group,"Data Analysis, Leadership, Artistic, Programming, Problem Solving, Public Speaking",Chhattisgarh,Sophomore,Mathematics,5.74,"French, English, Chinese, Japanese","Volunteer Group, Art Club, Music Club, Sports Team",Computer science,Female
Music Club,"Problem Solving, Programming, Leadership, Artistic, Data Analysis, Public Speaking",Goa,Junior,Biology,4.96,"French, Japanese",Music Club,History,Male
Volunteer Group,Problem Solving,Gujarat,Sophomore,Mathematics,6.9,"Chinese, German, English, Japanese, French, Spanish","Art Club, Sports Team",History,Male
Debate Club,"Problem Solving, Artistic, Public Speaking, Leadership",Haryana,Freshman,Psychology,6.66,"Spanish, Chinese, English, Japanese","Volunteer Group, Debate Club, Art Club",Biology,Female
Coding Club,"Public Speaking, Leadership, Problem Solving",Himachal Pradesh,Sophomore,Physics,7.3,"German, English, French","Debate Club, Coding Club, Art Club, Music Club",Computer science,Male
Music Club,"Artistic, Public Speaking, Problem Solving, Data Analysis",Jharkhand,Freshman,Computer Science,5.82,"French, Spanish, English, Chinese, Japanese","Coding Club, Debate Club, Music Club, Art Club, Sports Team, Volunteer Group",Computer science,Female
Volunteer Group,"Public Speaking, Artistic, Problem Solving, Data Analysis, Programming",Karnataka,Sophomore,Mathematics,6.86,"Japanese, German, French, Spanish, Chinese, English","Coding Club, Sports Team, Art Club, Music Club, Debate Club, Volunteer Group",Biology,Female
Debate Club,"Artistic, Problem Solving, Programming, Leadership",Kerala,Senior,Computer Science,7.84,"German, Chinese, Spanish","Debate Club, Sports Team, Volunteer Group, Music Club",Computer science,Female
Art Club,"Artistic, Leadership, Programming, Public Speaking, Data Analysis, Problem Solving",Madhya Pradesh,Sophomore,Computer Science,6.72,"French, Spanish, German, Japanese, Chinese, English","Coding Club, Art Club, Debate Club, Volunteer Group, Music Club",Mathematics,Male
Music Club,"Leadership, Public Speaking, Programming, Artistic",Maharashtra,Junior,History,5.14,Spanish,Art Club,Mathematics,Male
Music Club,"Problem Solving, Leadership, Programming, Artistic",Manipur,Senior,Psychology,4.98,"German, Japanese, Chinese, English, Spanish","Art Club, Volunteer Group, Coding Club, Debate Club, Sports Team, Music Club",History,Female
Music Club,"Data Analysis, Programming, Problem Solving",Meghalaya,Graduate,Physics,5.6,"Spanish, French","Art Club, Sports Team",History,Female
Volunteer Group,"Leadership, Public Speaking, Problem Solving, Artistic, Data Analysis",Mizoram,Graduate,Psychology,5.7,"Chinese, English, French, German",Volunteer Group,History,Male
Sports Team,"Data Analysis, Programming, Public Speaking",Nagaland,Graduate,Mathematics,7.92,"English, Chinese, Spanish, French","Coding Club, Music Club",Mathematics,Female
Art Club,"Artistic, Programming, Public Speaking, Data Analysis, Problem Solving, Leadership",Odisha,Senior,Computer Science,4.26,German,"Coding Club, Debate Club, Music Club, Volunteer Group, Sports Team, Art Club",Biology,Female
Volunteer Group,"Public Speaking, Artistic",Punjab,Sophomore,Physics,5.02,English,"Art Club, Volunteer Group",Mathematics,Female
Debate Club,"Programming, Artistic, Leadership",Rajasthan,Junior,Computer Science,6.54,"English, Chinese, Spanish, Japanese, German","Coding Club, Debate Club, Music Club, Art Club, Sports Team, Volunteer Group",Computer science,Male
Volunteer Group,"Problem Solving, Artistic",Sikkim,Freshman,Computer Science,5.38,"Japanese, German, Chinese, Spanish","Art Club, Coding Club, Volunteer Group, Sports Team, Music Club, Debate Club",Computer science,Male
Coding Club,"Public Speaking, Programming, Problem Solving, Leadership, Data Analysis, Artistic",Tamil Nadu,Graduate,Computer Science,5.6,"German, Japanese, French",Volunteer Group,Mathematics,Male
Music Club,"Problem Solving, Data Analysis",Telangana,Junior,Computer Science,6.08,"French, Chinese, Spanish","Sports Team, Debate Club, Art Club, Coding Club, Music Club, Volunteer Group",Mathematics,Female
Music Club,"Public Speaking, Artistic, Data Analysis, Problem Solving, Leadership",Tripura,Junior,Physics,6.92,"English, Spanish, Chinese, German","Volunteer Group, Debate Club, Coding Club, Sports Team, Art Club",History,Female
Coding Club,"Public Speaking, Programming, Data Analysis, Leadership, Problem Solving",Uttar Pradesh,Freshman,Computer Science,5.9,"Spanish, German, French","Coding Club, Debate Club, Sports Team, Music Club, Volunteer Group",History,Female
Coding Club,Artistic,Uttarakhand,Graduate,Physics,7.46,"German, Japanese, English, Spanish, French","Volunteer Group, Music Club",Computer science,Male
Sports Team,"Public Speaking, Problem Solving, Data Analysis, Artistic, Leadership, Programming",West Bengal,Sophomore,Psychology,5.78,"German, Chinese, Spanish, English, Japanese","Coding Club, Volunteer Group, Debate Club",Computer science,Female
Art Club,"Leadership, Problem Solving, Programming, Data Analysis, Artistic, Public Speaking",Andhra Pradesh,Freshman,Biology,4.82,"Chinese, Japanese, English","Coding Club, Volunteer Group, Debate Club",History,Female
Coding Club,"Leadership, Public Speaking",Arunachal Pradesh,Senior,Mathematics,6.28,"French, Spanish, Chinese, English, Japanese, German","Art Club, Debate Club, Coding Club, Sports Team, Volunteer Group, Music Club",History,Female
Volunteer Group,"Public Speaking, Artistic",Assam,Freshman,Psychology,4.08,"Japanese, English, Spanish","Coding Club, Sports Team",History,Female
Debate Club,Programming,Andaman & Nicobar Islands,Senior,History,6.78,"English, Spanish",Music Club,Computer science,Male
Art Club,"Artistic, Public Speaking, Data Analysis, Programming",Chandigarh,Freshman,Physics,4.4,"Spanish, English, German, Japanese","Coding Club, Art Club, Volunteer Group, Sports Team",History,Male
Sports Team,Data Analysis,Dadra & Nagar Haveli and Daman & Diu,Junior,Biology,6.64,"Spanish, Chinese, French, Japanese, English, German","Music Club, Sports Team, Art Club, Coding Club, Volunteer Group, Debate Club",Computer science,Female
Coding Club,Programming,Delhi,Senior,Computer Science,7.38,"Japanese, French, Chinese, English, German, Spanish","Volunteer Group, Coding Club, Music Club, Sports Team, Debate Club",Computer science,Male
Coding Club,"Programming, Public Speaking",Jammu & Kashmir,Sophomore,History,6.12,"French, Japanese, Spanish, Chinese","Coding Club, Music Club, Volunteer Group, Art Club, Sports Team",Computer science,Male
Volunteer Group,"Data Analysis, Artistic",Ladakh,Senior,Computer Science,4.98,"French, Japanese, Chinese, English, Spanish, German","Volunteer Group, Art Club, Sports Team",History,Female
Coding Club,"Programming, Data Analysis, Public Speaking, Leadership, Artistic, Problem Solving",Lakshadweep,Sophomore,Mathematics,6.86,"German, French, Chinese, Spanish","Art Club, Debate Club",Biology,Female
Volunteer Group,"Public Speaking, Problem Solving, Artistic, Programming",Puducherry,Freshman,Mathematics,7.62,"Chinese, Japanese, French","Music Club, Coding Club, Art Club",Computer science,Male
Volunteer Group,"Problem Solving, Public Speaking, Artistic, Data Analysis, Programming",Bihar,Junior,Mathematics,6.66,"Chinese, German","Volunteer Group, Art Club, Debate Club, Sports Team, Music Club",Biology,Female
Coding Club,"Data Analysis, Programming",Chhattisgarh,Graduate,Biology,7.04,German,"Coding Club, Volunteer Group, Debate Club, Music Club",Mathematics,Male
Sports Team,Artistic,Goa,Senior,History,5.52,"Spanish, Chinese, Japanese, English, French","Sports Team, Debate Club",History,Female
Art Club,Leadership,Gujarat,Freshman,Computer Science,7.5,"English, French, Japanese, Spanish","Debate Club, Music Club, Volunteer Group, Sports Team",Computer science,Male
Art Club,"Artistic, Problem Solving, Programming",Haryana,Freshman,Psychology,5.42,"Japanese, English, Spanish","Volunteer Group, Art Club, Music Club, Sports Team, Debate Club, Coding Club",Mathematics,Female
Volunteer Group,Leadership,Himachal Pradesh,Junior,Physics,4.26,"Chinese, Japanese","Music Club, Sports Team, Coding Club, Art Club",Biology,Male
Volunteer Group,"Leadership, Data Analysis, Artistic",Jharkhand,Freshman,Physics,5.9,"Spanish, German, English","Debate Club, Coding Club",Computer science,Male
Coding Club,"Programming, Leadership, Artistic, Data Analysis, Public Speaking, Problem Solving",Karnataka,Freshman,Mathematics,4.48,"Japanese, Spanish, English","Debate Club, Music Club, Volunteer Group",History,Male
Music Club,"Public Speaking, Artistic, Programming",Kerala,Senior,Biology,7.86,"Chinese, English, Spanish, French, German, Japanese","Debate Club, Volunteer Group, Art Club, Sports Team, Music Club, Coding Club",Mathematics,Female
Coding Club,"Public Speaking, Data Analysis, Artistic, Problem Solving, Programming, Leadership",Madhya Pradesh,Graduate,Psychology,7.04,German,Volunteer Group,Computer science,Male
Music Club,"Data Analysis, Leadership",Maharashtra,Freshman,History,7.38,"English, Japanese, German, Spanish, Chinese, French","Volunteer Group, Debate Club",Computer science,Male
Coding Club,"Problem Solving, Programming, Leadership, Public Speaking",Manipur,Graduate,Computer Science,6.3,"Spanish, English, French, Japanese, German","Music Club, Volunteer Group",History,Female
Debate Club,"Programming, Public Speaking, Leadership",Meghalaya,Graduate,Psychology,5.42,Spanish,"Coding Club, Debate Club, Sports Team",Mathematics,Female
Volunteer Group,"Public Speaking, Problem Solving, Artistic",Mizoram,Freshman,History,4.38,English,"Debate Club, Coding Club, Music Club, Volunteer Group",History,Male
Sports Team,Leadership,Nagaland,Sophomore,Psychology,6.92,"English, French, Chinese, German, Japanese","Sports Team, Music Club, Volunteer Group, Coding Club, Debate Club",Biology,Male
Volunteer Group,"Programming, Problem Solving, Data Analysis",Odisha,Senior,Physics,5.42,"Spanish, Chinese, German, French","Coding Club, Debate Club, Volunteer Group, Art Club, Music Club, Sports Team",Biology,Female
Art Club,Artistic,Punjab,Sophomore,Mathematics,6.84,"Chinese, German","Sports Team, Debate Club",History,Female
Sports Team,"Artistic, Data Analysis, Programming",Rajasthan,Junior,Mathematics,7.22,Spanish,"Sports Team, Volunteer Group, Debate Club",Mathematics,Female
Art Club,"Problem Solving, Data Analysis, Leadership",Sikkim,Senior,Psychology,5.56,Japanese,"Sports Team, Art Club, Coding Club, Volunteer Group, Debate Club",Mathematics,Female
Music Club,"Public Speaking, Data Analysis, Programming, Leadership",Tamil Nadu,Graduate,Mathematics,7.28,"French, German",Music Club,Computer science,Female
Debate Club,"Programming, Public Speaking, Problem Solving, Data Analysis",Telangana,Sophomore,Psychology,7.66,English,"Coding Club, Debate Club, Sports Team, Art Club",Mathematics,Male
Art Club,"Data Analysis, Artistic, Leadership, Problem Solving, Public Speaking, Programming",Tripura,Senior,Biology,7.1,"Chinese, English, Spanish, Japanese, German, French",Sports Team,Computer science,Female
Art Club,"Problem Solving, Artistic, Leadership, Programming, Data Analysis, Public Speaking",Uttar Pradesh,Graduate,Physics,4.16,English,"Music Club, Volunteer Group",Biology,Male
Art Club,"Data Analysis, Leadership, Programming, Public Speaking, Problem Solving",Uttarakhand,Senior,Mathematics,7.62,"Chinese, French, German","Art Club, Coding Club",Computer science,Male
Music Club,"Problem Solving, Programming, Data Analysis, Public Speaking, Leadership, Artistic",West Bengal,Graduate,Physics,4.42,"Japanese, Spanish","Coding Club, Sports Team",History,Male
Music Club,"Leadership, Data Analysis, Programming, Problem Solving, Artistic, Public Speaking",Andhra Pradesh,Sophomore,Physics,4.02,"Japanese, Spanish, Chinese, German","Sports Team, Music Club, Coding Club, Art Club, Debate Club",Biology,Female
Music Club,Leadership,Arunachal Pradesh,Sophomore,History,7.48,"Japanese, English","Art Club, Music Club, Coding Club, Volunteer Group, Sports Team, Debate Club",Computer science,Male
Music Club,"Leadership, Programming, Problem Solving, Public Speaking, Artistic",Assam,Senior,History,6.62,"Spanish, Chinese, German, French","Debate Club, Music Club, Coding Club, Art Club",Mathematics,Male
Coding Club,"Data Analysis, Public Speaking, Artistic, Programming",Andaman & Nicobar Islands,Senior,Physics,5.22,"German, Spanish, English","Music Club, Coding Club, Art Club, Volunteer Group, Sports Team, Debate Club",Mathematics,Female
Debate Club,"Artistic, Public Speaking, Data Analysis, Problem Solving, Programming, Leadership",Chandigarh,Junior,History,4.94,"Japanese, French",Debate Club,Biology,Male
Sports Team,"Artistic, Data Analysis",Dadra & Nagar Haveli and Daman & Diu,Senior,Biology,4.28,"French, English","Music Club, Coding Club, Art Club",History,Male
Music Club,"Data Analysis, Artistic, Public Speaking, Problem Solving, Leadership, Programming",Delhi,Junior,History,5.02,"Chinese, French","Music Club, Volunteer Group, Sports Team, Coding Club, Debate Club, Art Club",Mathematics,Female
Debate Club,"Artistic, Problem Solving, Public Speaking, Data Analysis, Programming",Jammu & Kashmir,Senior,Computer Science,4.8,"English, German, French, Japanese, Spanish",Music Club,Biology,Male
Volunteer Group,"Programming, Public Speaking",Ladakh,Junior,Psychology,7.92,"English, German, French, Japanese","Music Club, Sports Team, Debate Club, Volunteer Group, Art Club, Coding Club",Computer science,Male
Music Club,"Data Analysis, Problem Solving",Lakshadweep,Freshman,Psychology,4.16,"English, Chinese, Spanish","Coding Club, Art Club, Volunteer Group, Sports Team, Music Club",Biology,Male
Art Club,"Leadership, Artistic, Problem Solving",Puducherry,Sophomore,Psychology,5.6,"French, Spanish",Coding Club,Computer science,Female
Art Club,"Leadership, Programming, Public Speaking, Data Analysis, Artistic, Problem Solving",Bihar,Graduate,Biology,6.76,"French, Japanese","Debate Club, Sports Team",History,Female
Debate Club,"Problem Solving, Leadership, Data Analysis, Public Speaking, Artistic, Programming",Chhattisgarh,Sophomore,Physics,4.38,"Spanish, French, Japanese","Debate Club, Art Club, Sports Team, Coding Club",Biology,Female
Debate Club,"Data Analysis, Artistic, Leadership, Programming, Problem Solving",Goa,Graduate,Computer Science,4.76,"French, Chinese","Sports Team, Debate Club, Coding Club",History,Male
